Mortgage Amortization Schedule
Loan amount: $480000.0, Interest rate: 6.875%, Term: 15 years, Monthly payment: $4280.90, Final payment: $4281.15, Total paid: $770562.00, Cost of credit: $290562.00
Month	Interest Payment	Principal Payment	Remaining Balance
1	2750.00	1530.90	478469.10
2	2741.23	1539.67	476929.43
3	2732.41	1548.49	475380.94
4	2723.54	1557.36	473823.57
5	2714.61	1566.29	472257.29
6	2705.64	1575.26	470682.03
7	2696.62	1584.28	469097.74
8	2687.54	1593.36	467504.38
9	2678.41	1602.49	465901.89
10	2669.23	1611.67	464290.22
11	2660.00	1620.90	462669.32
12	2650.71	1630.19	461039.13
13	2641.37	1639.53	459399.60
14	2631.98	1648.92	457750.68
15	2622.53	1658.37	456092.31
16	2613.03	1667.87	454424.44
17	2603.47	1677.43	452747.01
18	2593.86	1687.04	451059.97
19	2584.20	1696.70	449363.27
20	2574.48	1706.42	447656.85
21	2564.70	1716.20	445940.65
22	2554.87	1726.03	444214.62
23	2544.98	1735.92	442478.70
24	2535.03	1745.87	440732.83
25	2525.03	1755.87	438976.96
26	2514.97	1765.93	437211.03
27	2504.85	1776.05	435434.99
28	2494.68	1786.22	433648.77
29	2484.45	1796.45	431852.31
30	2474.15	1806.75	430045.57
31	2463.80	1817.10	428228.47
32	2453.39	1827.51	426400.96
33	2442.92	1837.98	424562.99
34	2432.39	1848.51	422714.48
35	2421.80	1859.10	420855.38
36	2411.15	1869.75	418985.63
37	2400.44	1880.46	417105.17
38	2389.67	1891.23	415213.93
39	2378.83	1902.07	413311.86
40	2367.93	1912.97	411398.90
41	2356.97	1923.93	409474.97
42	2345.95	1934.95	407540.02
43	2334.86	1946.04	405593.98
44	2323.72	1957.18	403636.80
45	2312.50	1968.40	401668.40
46	2301.23	1979.67	399688.73
47	2289.88	1991.02	397697.71
48	2278.48	2002.42	395695.29
49	2267.00	2013.90	393681.39
50	2255.47	2025.43	391655.96
51	2243.86	2037.04	389618.92
52	2232.19	2048.71	387570.21
53	2220.45	2060.45	385509.77
54	2208.65	2072.25	383437.51
55	2196.78	2084.12	381353.39
56	2184.84	2096.06	379257.33
57	2172.83	2108.07	377149.26
58	2160.75	2120.15	375029.11
59	2148.60	2132.30	372896.81
60	2136.39	2144.51	370752.30
61	2124.10	2156.80	368595.50
62	2111.75	2169.15	366426.35
63	2099.32	2181.58	364244.77
64	2086.82	2194.08	362050.68
65	2074.25	2206.65	359844.03
66	2061.61	2219.29	357624.74
67	2048.89	2232.01	355392.73
68	2036.10	2244.80	353147.94
69	2023.24	2257.66	350890.28
70	2010.31	2270.59	348619.69
71	1997.30	2283.60	346336.09
72	1984.22	2296.68	344039.41
73	1971.06	2309.84	341729.56
74	1957.83	2323.07	339406.49
75	1944.52	2336.38	337070.11
76	1931.13	2349.77	334720.34
77	1917.67	2363.23	332357.11
78	1904.13	2376.77	329980.33
79	1890.51	2390.39	327589.95
80	1876.82	2404.08	325185.86
81	1863.04	2417.86	322768.01
82	1849.19	2431.71	320336.30
83	1835.26	2445.64	317890.66
84	1821.25	2459.65	315431.01
85	1807.16	2473.74	312957.27
86	1792.98	2487.92	310469.35
87	1778.73	2502.17	307967.18
88	1764.40	2516.50	305450.68
89	1749.98	2530.92	302919.75
90	1735.48	2545.42	300374.33
